:END_ID(Movie),:START_ID(Actor),character,:TYPE
"18","310","Julius Kuvalis","ACTED_IN"
"18","51","Woodrow Bradtke","ACTED_IN"
"18","797","Sonya Padberg","ACTED_IN"
"18","933","Chris Gottlieb","ACTED_IN"
"18","74","Dallas Mante","ACTED_IN"
"18","297","Gustavo Maggio DDS","ACTED_IN"
"18","740","Dr. Adam Dietrich","ACTED_IN"
"18","667","Elmer Kiehn","ACTED_IN"
"19","198","Donald Little","ACTED_IN"
"19","310","Sara Franey","ACTED_IN"
"19","478","Frances Haley","ACTED_IN"
"19","114","Mr. Darrin Stanton","ACTED_IN"
"19","69","Stanley Braun","ACTED_IN"
"19","157","Melvin Barton","ACTED_IN"
"19","305","Bessie Zieme","ACTED_IN"
"19","768","Nora Leannon","ACTED_IN"
"19","757","Dr. Sam Rohan","ACTED_IN"
"19","975","Muriel Koepp","ACTED_IN"
"20","990","Richard Huels","ACTED_IN"
"20","677","Lynette Kautzer","ACTED_IN"
"20","620","Sally Moore MD","ACTED_IN"
"20","473","Gayle Durgan V","ACTED_IN"
"20","293","Joshua Weimann","ACTED_IN"
"20","160","Alejandro Weimann","ACTED_IN"
"20","402","Marta O'Hara","ACTED_IN"
"20","799","Jennie Prohaska","ACTED_IN"
"20","26","Vernon Schimmel","ACTED_IN"
"20","235","Ira Koss","ACTED_IN"
"21","534","Gertrude Purdy","ACTED_IN"
"21","50","Levi Fritsch","ACTED_IN"
"21","933","Mercedes Hickle","ACTED_IN"
"21","338","Lynette Hane Jr.","ACTED_IN"
"21","443","Cynthia Wolf","ACTED_IN"
"21","232","Leigh Ondricka","ACTED_IN"
"21","740","Amber Watsica Sr.","ACTED_IN"
"21","471","Byron Kris","ACTED_IN"
"21","647","Gayle Mayert","ACTED_IN"
"21","171","Craig Haley Jr.","ACTED_IN"
"22","354","Gertrude Blick","ACTED_IN"
"22","640","Rochelle Mills","ACTED_IN"
"22","389","Emmett Rodriguez-Corwin V","ACTED_IN"
"22","889","Terrell Murazik","ACTED_IN"
"22","259","Luke Huels-Hamill MD","ACTED_IN"
"22","397","Arthur Koss","ACTED_IN"
"22","818","Bradford Baumbach","ACTED_IN"
"22","803","Brandy Wunsch","ACTED_IN"
"22","394","Danielle D'Amore","ACTED_IN"
"22","775","George Connelly","ACTED_IN"
"23","867","Gregg Kessler","ACTED_IN"
"23","795","Gene Ebert","ACTED_IN"
"23","461","Sharon Streich-Witting","ACTED_IN"
"23","429","Howard Hagenes","ACTED_IN"
"23","224","Mr. Johnny Dooley","ACTED_IN"
"23","594","Oscar Glover","ACTED_IN"
"23","948","Cheryl Stracke","ACTED_IN"
"23","12","Dr. Bob Torp","ACTED_IN"
"23","160","Pearl Kessler","ACTED_IN"
"23","326","Miss Lola Veum PhD","ACTED_IN"
"24","373","Bob Lemke","ACTED_IN"
"24","340","Leland Wolf","ACTED_IN"
"24","48","John Olson","ACTED_IN"
"24","138","Beth Casper-Hirthe","ACTED_IN"
"24","808","Dewey Lebsack","ACTED_IN"
"24","239","Marcella Bernhard","ACTED_IN"
"24","246","Earl Kuhlman DDS","ACTED_IN"
"24","81","Edna Abbott","ACTED_IN"
"24","68","Belinda Mertz","ACTED_IN"
"24","423","Mae Kertzmann","ACTED_IN"
"25","594","Emanuel Predovic Sr.","ACTED_IN"
"25","421","Lee Hyatt","ACTED_IN"
"25","472","Mr. Israel Bayer Sr.","ACTED_IN"
"25","784","Mrs. Olivia Tromp-Auer","ACTED_IN"
"25","671","Elbert Hettinger","ACTED_IN"
"25","465","Amos Effertz DVM","ACTED_IN"
"25","80","Miss Mary Strosin","ACTED_IN"
"25","766","Angelina McLaughlin","ACTED_IN"
"25","123","Nicole Medhurst","ACTED_IN"
"25","715","Adrian Koch Sr.","ACTED_IN"
"26","842","Elmer Bradtke","ACTED_IN"
"26","363","Georgia Jacobs","ACTED_IN"
"26","542","Jay Hane","ACTED_IN"
"26","728","Dr. Pamela Cummerata","ACTED_IN"
"26","411","Eloise Luettgen","ACTED_IN"
"26","337","Melissa Fay","ACTED_IN"
"26","136","Terri Little","ACTED_IN"
"26","763","Loren Streich","ACTED_IN"
"26","859","Nettie Oberbrunner-Maggio","ACTED_IN"
"26","641","Mrs. Camille Conn","ACTED_IN"
"27","286","Dr. Christine Cassin","ACTED_IN"
"27","704","Sheila Medhurst","ACTED_IN"
"27","573","Darnell Schimmel","ACTED_IN"
"27","995","Lucy Cummerata","ACTED_IN"
"27","996","Edith Wisoky V","ACTED_IN"
"27","21","Allison Bernier","ACTED_IN"
"27","803","Andres Klein","ACTED_IN"
"27","850","Sonya Veum","ACTED_IN"
"27","780","Mr. Marcus Wolf","ACTED_IN"
"27","882","Lamar Kling","ACTED_IN"
"28","884","Lynette Bode","ACTED_IN"
"28","753","Johnathan Grant","ACTED_IN"
"28","50","Peter Gislason","ACTED_IN"
"28","782","Mr. Johnny Morar-Considine","ACTED_IN"
"28","370","Dianne Gorczany","ACTED_IN"
"28","110","Terrance Lockman DDS","ACTED_IN"
"28","146","Tonya McLaughlin","ACTED_IN"
"28","748","Ron Leffler","ACTED_IN"
"28","659","Susan Schmitt","ACTED_IN"
"28","784","Danielle Rempel","ACTED_IN"
"29","437","Blanca Cronin","ACTED_IN"
"29","35","Ms. Isabel Pfeffer-Hegmann","ACTED_IN"
"29","582","Vickie Schultz","ACTED_IN"
"29","916","Gail Rau","ACTED_IN"
"29","572","Rodolfo Littel","ACTED_IN"
"29","54","Dr. Sean Littel","ACTED_IN"
"29","704","Elijah Walsh","ACTED_IN"
"29","675","Yolanda Carroll","ACTED_IN"
"29","242","Mrs. Kristy Swaniawski","ACTED_IN"
"29","749","Fernando Donnelly PhD","ACTED_IN"
"30","223","Nancy Beier","ACTED_IN"
"30","246","Boyd Haag","ACTED_IN"
"30","350","Bradley White-Stanton","ACTED_IN"
"30","288","Theresa Schulist","ACTED_IN"
"30","882","Rachel Welch","ACTED_IN"
"30","755","Jean Hartmann DVM","ACTED_IN"
"30","925","Elaine Littel","ACTED_IN"
"30","304","Jacob Bode III","ACTED_IN"
"30","485","Maggie Anderson","ACTED_IN"
"30","538","Rosemary Gerlach","ACTED_IN"
"31","452","Violet Marquardt","ACTED_IN"
"31","291","Virginia Robel DVM","ACTED_IN"
"31","469","Carole Langworth","ACTED_IN"
"31","232","Mr. Samuel Koepp","ACTED_IN"
"31","739","Olive Aufderhar","ACTED_IN"
"31","78","Marvin Wuckert","ACTED_IN"
"31","716","Daryl Kub","ACTED_IN"
"31","412","Maria Cremin","ACTED_IN"
"31","841","Drew Tromp","ACTED_IN"
"31","654","April Fritsch","ACTED_IN"
"32","620","Loren Breitenberg","ACTED_IN"
"32","708","Randolph Toy","ACTED_IN"
"32","960","Carl Kuhic-DuBuque Jr.","ACTED_IN"
"32","975","Carmen Quitzon","ACTED_IN"
"32","24","Kent Blick","ACTED_IN"
"32","116","Dr. Kayla Kessler V","ACTED_IN"
"32","62","April Jaskolski","ACTED_IN"
"32","832","May Johns","ACTED_IN"
"32","80","Kate Dickinson","ACTED_IN"
"32","607","Scott Reynolds","ACTED_IN"
"33","974","Abel Medhurst","ACTED_IN"
"33","966","Ellis Oberbrunner-Donnelly","ACTED_IN"
"33","506","Amos Metz","ACTED_IN"
"33","166","Sammy Hermann","ACTED_IN"
"33","548","Lucille Williamson","ACTED_IN"
"33","419","Clark Goyette","ACTED_IN"
"33","767","Penny Schumm","ACTED_IN"
"33","567","Jan Klocko","ACTED_IN"
"33","386","Dan Kub","ACTED_IN"
"33","928","Lowell Cummerata","ACTED_IN"
"34","382","Laurence Gleason","ACTED_IN"
"34","505","Patricia Braun","ACTED_IN"
"34","834","Luis Walker Jr.","ACTED_IN"
"34","707","Cecilia Yundt","ACTED_IN"
"34","894","Rex Lang","ACTED_IN"
"34","221","Darin Bashirian-Quitzon V","ACTED_IN"
"34","683","Minnie Leuschke","ACTED_IN"
"34","691","Patrick Kreiger","ACTED_IN"
"34","931","Eddie Schaefer","ACTED_IN"
"34","179","Jorge Jacobson","ACTED_IN"
"35","523","Richard Wisoky","ACTED_IN"
"35","803","Lorraine Cremin","ACTED_IN"
"35","116","Jose Rath Jr.","ACTED_IN"
"35","135","Hugo Maggio","ACTED_IN"
"35","698","Inez O'Conner","ACTED_IN"
"35","772","Clarence Hermiston","ACTED_IN"
"35","30","Dr. Dustin Kshlerin","ACTED_IN"
"35","916","Karl Graham","ACTED_IN"
"35","119","Cathy Hegmann","ACTED_IN"
"35","539","Stacy Oberbrunner","ACTED_IN"
"36","148","Bonnie Dickinson","ACTED_IN"
"36","30","Annie Upton","ACTED_IN"
"36","684","Kristina Marquardt","ACTED_IN"
"36","157","Carl Kuhn","ACTED_IN"
"36","156","Freddie Ryan","ACTED_IN"
"36","79","Janie McGlynn Jr.","ACTED_IN"
"36","315","Rosie Braun","ACTED_IN"
"36","188","Gladys Beatty","ACTED_IN"
"36","108","Emma Schowalter","ACTED_IN"
"36","655","Kendra Larkin","ACTED_IN"
"37","630","Kate Nitzsche","ACTED_IN"
"37","182","Patty DuBuque IV","ACTED_IN"
"37","352","Darrell Deckow","ACTED_IN"
"37","756","Myra Hoppe","ACTED_IN"
"37","277","Roderick McCullough","ACTED_IN"
"37","670","Stuart Hackett","ACTED_IN"
"37","13","Tricia Bauch","ACTED_IN"
"37","530","Jean Schoen","ACTED_IN"
"37","404","Janie Sipes III","ACTED_IN"
"37","43","Mr. Tim Jacobson","ACTED_IN"
"38","261","Ronald Doyle","ACTED_IN"
"38","3","Phillip Dickens","ACTED_IN"
"38","420","Karen Swaniawski","ACTED_IN"
"38","342","Ana Sporer","ACTED_IN"
"38","599","Dr. Nick Lueilwitz","ACTED_IN"
"38","558","Shane Kuhlman","ACTED_IN"
"38","220","Alice Nienow","ACTED_IN"
"38","314","Mable Bashirian","ACTED_IN"
"38","330","Dr. Wesley Vandervort V","ACTED_IN"
"38","196","Mr. Dallas Schamberger","ACTED_IN"
"39","394","Patrick Bogisich","ACTED_IN"
"39","162","Olivia Cassin","ACTED_IN"
"39","412","Lynn Ryan V","ACTED_IN"
"39","273","Lynn Bernier MD","ACTED_IN"
"39","5","Ebony Metz","ACTED_IN"
"39","481","Andres Prosacco","ACTED_IN"
"39","978","Emanuel Dicki II","ACTED_IN"
"39","329","Candace Wehner","ACTED_IN"
"39","822","Dr. Ellis Mann","ACTED_IN"
"39","382","Carlton Nienow","ACTED_IN"
"40","638","Stacey Hagenes","ACTED_IN"
"40","456","Kay Koepp","ACTED_IN"
"40","356","Floyd Mann-Metz I","ACTED_IN"
"40","555","Brent Conroy","ACTED_IN"
"40","134","Roland Reinger","ACTED_IN"
"40","263","Jeremiah Wiegand","ACTED_IN"
"40","221","Mr. Anthony Jacobs-Jast DVM","ACTED_IN"
"40","487","Jesus Stehr","ACTED_IN"
"40","27","Donnie Stanton","ACTED_IN"
"40","14","Alberta Hilll III","ACTED_IN"
"41","906","Becky Reilly IV","ACTED_IN"
"41","93","Cassandra Rau-Ullrich","ACTED_IN"
"41","605","Johnnie Wunsch","ACTED_IN"
"41","847","Jeanette Hand","ACTED_IN"
"41","653","Tami Gerlach-Kuvalis","ACTED_IN"
"41","2","Sally Beatty","ACTED_IN"
"41","306","Blanche Breitenberg","ACTED_IN"
"41","791","Perry Jaskolski","ACTED_IN"
"41","866","Gregory Heidenreich","ACTED_IN"
"41","1","Alexander Lesch","ACTED_IN"
"42","890","Boyd Upton","ACTED_IN"
"42","898","Mrs. Lynda Kreiger","ACTED_IN"
"42","15","Charlotte Zboncak","ACTED_IN"
"42","424","Leroy Effertz","ACTED_IN"
"42","339","Mrs. Yolanda Mertz","ACTED_IN"
"42","660","Craig Kuvalis","ACTED_IN"
"42","194","Kari Thompson","ACTED_IN"
"42","230","Tracey Mann","ACTED_IN"
"42","952","Misty Koelpin","ACTED_IN"
"42","520","Cesar Funk","ACTED_IN"
"43","873","Ms. Opal Daniel II","ACTED_IN"
"43","91","Beverly Schmitt","ACTED_IN"
"43","656","Raul Dickens-Mohr","ACTED_IN"
"43","860","Dorothy Crona","ACTED_IN"
"43","122","Patti Moore","ACTED_IN"
"43","307","Gloria Boyle","ACTED_IN"
"43","990","Dr. Grant Strosin","ACTED_IN"
"43","108","Velma Kuphal III","ACTED_IN"
"43","723","Drew Kuvalis","ACTED_IN"
"43","519","Kari Franey V","ACTED_IN"
"44","415","Doug Hirthe","ACTED_IN"
"44","707","Laverne Senger","ACTED_IN"
"44","749","David Mertz","ACTED_IN"
"44","212","Morris Walker","ACTED_IN"
"44","935","Celia Ortiz","ACTED_IN"
"44","689","Sandy Volkman","ACTED_IN"
"44","533","Angelina Hegmann","ACTED_IN"
"44","605","Johnny Rau","ACTED_IN"
"44","622","Joanna Waters","ACTED_IN"
"44","565","Claudia King","ACTED_IN"
"45","505","Kurt Corkery V","ACTED_IN"
"45","883","Julian Batz-Fritsch","ACTED_IN"
"45","854","Maria Hagenes","ACTED_IN"
"45","846","Dr. Yolanda Nienow PhD","ACTED_IN"
"45","227","Chad Abshire","ACTED_IN"
"45","828","Miss Juanita Stamm","ACTED_IN"
"45","676","Peter Streich","ACTED_IN"
"45","462","Lynn Jacobson","ACTED_IN"
"45","309","Frankie Bartell-Schneider","ACTED_IN"
"45","465","Courtney Oberbrunner","ACTED_IN"
"46","336","Mrs. Agnes Marquardt","ACTED_IN"
"46","95","Ricardo Labadie","ACTED_IN"
"46","493","Joel West","ACTED_IN"
"46","861","Stanley Treutel-Zieme","ACTED_IN"
"46","616","Kenneth Reichert","ACTED_IN"
"46","725","Vickie Braun","ACTED_IN"
"46","874","Mr. Felipe Baumbach","ACTED_IN"
"46","56","Gwen Nicolas","ACTED_IN"
"46","556","Johnny Konopelski","ACTED_IN"
"47","94","Glenda Douglas","ACTED_IN"
"47","230","Darren Cormier","ACTED_IN"
"47","202","Austin Oberbrunner","ACTED_IN"
"47","815","Melinda Hudson","ACTED_IN"
"47","428","Thelma Langworth","ACTED_IN"
"47","616","Mrs. Juanita Hintz","ACTED_IN"
"47","717","Courtney Stokes","ACTED_IN"
"47","694","Chris Homenick","ACTED_IN"
"47","97","Joanna Schmeler","ACTED_IN"
"47","933","Mrs. Teresa Weissnat MD","ACTED_IN"
"48","230","Cary Blick","ACTED_IN"
"48","625","Ernestine Pouros-Ziemann V","ACTED_IN"
"48","619","Luke Hilll Sr.","ACTED_IN"
"48","951","Dr. Jack Halvorson","ACTED_IN"
"48","827","Doug Armstrong","ACTED_IN"
"48","999","Kelley Lowe","ACTED_IN"
"48","98","Cheryl Zieme","ACTED_IN"
"48","77","Pablo Smith","ACTED_IN"
"48","476","Henrietta Wolf","ACTED_IN"
"48","977","Dale Emard-Feest","ACTED_IN"
"49","326","Roderick Ziemann","ACTED_IN"
"49","255","Ann Gislason MD","ACTED_IN"
"49","23","Myrtle Fadel","ACTED_IN"
"49","962","Guillermo Gleason","ACTED_IN"
"49","199","Agnes Quigley","ACTED_IN"
"49","958","Daisy Graham","ACTED_IN"
"49","142","Calvin Purdy","ACTED_IN"
"49","669","Tony Kulas","ACTED_IN"
"49","637","Lowell Terry","ACTED_IN"
"49","63","Calvin Stark","ACTED_IN"
"50","988","Michelle McGlynn","ACTED_IN"
"50","827","Jodi Weber","ACTED_IN"
"50","83","Tami Smitham I","ACTED_IN"
"50","127","Jana Mosciski","ACTED_IN"
"50","410","Mamie Kirlin","ACTED_IN"
"50","48","Tara Hackett","ACTED_IN"
"50","259","Jorge Kunde","ACTED_IN"
"50","361","Helen Hartmann","ACTED_IN"
"50","714","Dr. Ramon Gottlieb","ACTED_IN"
"50","44","Lana Grimes","ACTED_IN"
"51","347","Travis Frami","ACTED_IN"
"51","246","Rhonda Schultz","ACTED_IN"
"51","481","Maryann Conn-Rowe","ACTED_IN"
"51","474","Brooke Kuhn","ACTED_IN"
"51","381","Georgia Rosenbaum","ACTED_IN"
"51","71","Pete Jones","ACTED_IN"
"51","814","Maria Harris","ACTED_IN"
"51","632","Roderick Brown","ACTED_IN"
"51","294","Forrest West-Christiansen","ACTED_IN"
"51","635","Wallace Wunsch","ACTED_IN"
"52","235","Guadalupe Balistreri","ACTED_IN"
"52","845","Joel McLaughlin","ACTED_IN"
"52","815","Melanie Wisoky-Grady I","ACTED_IN"
"52","519","Vernon Dare","ACTED_IN"
"52","659","Erika Toy II","ACTED_IN"
"52","294","Nicole Gottlieb","ACTED_IN"
"52","706","Juana Waelchi","ACTED_IN"
"52","476","Jody Adams","ACTED_IN"
"52","362","Ms. Denise Mraz","ACTED_IN"
"52","405","Lewis Wyman","ACTED_IN"
"53","357","Cornelius Thiel","ACTED_IN"
"53","919","Todd Ritchie","ACTED_IN"
"53","156","Erika Satterfield","ACTED_IN"
"53","884","Dr. Laurence Weber","ACTED_IN"
"53","380","Sandy Cole","ACTED_IN"
"53","43","Randall Orn","ACTED_IN"
"53","347","Kerry Wunsch","ACTED_IN"
"53","874","Dennis Hansen","ACTED_IN"
"53","182","Dr. Sean Stracke I","ACTED_IN"
"53","971","Neal Jast","ACTED_IN"
"54","3","Chris Wolff","ACTED_IN"
"54","89","Dr. Rex Koch","ACTED_IN"
"54","790","Daryl Buckridge","ACTED_IN"
"54","985","Nicolas Trantow","ACTED_IN"
"54","70","Natasha Lakin","ACTED_IN"
"54","65","Sean Sauer","ACTED_IN"
"54","550","Roberto Schimmel","ACTED_IN"
"54","837","Leslie Dooley","ACTED_IN"
"54","240","Brandy Bode","ACTED_IN"
"54","236","Mrs. Kelli Ankunding","ACTED_IN"
"55","232","Dr. Garry Wiza","ACTED_IN"
"55","918","Tabitha Quigley","ACTED_IN"
"55","82","Gregg Jerde","ACTED_IN"
"55","184","Clifford Hodkiewicz","ACTED_IN"
"55","994","Miss Beatrice Emmerich","ACTED_IN"
"55","70","Jill Zieme","ACTED_IN"
"55","501","Dr. Harold Heidenreich","ACTED_IN"
"55","152","Dr. Jaime Emard","ACTED_IN"
"55","557","George Sauer","ACTED_IN"
"55","851","Dr. Andy Dach","ACTED_IN"
"56","524","Ricardo Bins","ACTED_IN"
"56","917","Eloise Turner","ACTED_IN"
"56","536","Rochelle Collier","ACTED_IN"
"56","887","Louis Dietrich","ACTED_IN"
"56","505","Lydia Paucek","ACTED_IN"
"56","912","Cathy Graham","ACTED_IN"
"56","692","Leticia Romaguera","ACTED_IN"
"56","829","Mr. Allan Hamill","ACTED_IN"
"56","616","Alfred Nienow","ACTED_IN"
"56","502","Mrs. Norma Sauer I","ACTED_IN"
"57","547","Lillie Hirthe","ACTED_IN"
"57","337","Jessie Effertz","ACTED_IN"
"57","178","Constance Von-Hamill","ACTED_IN"
"57","508","Ms. Ada Farrell","ACTED_IN"
"57","878","Dianna Bode","ACTED_IN"
"57","494","Angelo Rempel","ACTED_IN"
"57","855","Leslie Jaskolski","ACTED_IN"
"57","295","Esther Stehr","ACTED_IN"
"57","336","Oliver Conn","ACTED_IN"
"57","454","Melissa Kessler","ACTED_IN"
"58","962","Brenda Crona","ACTED_IN"
"58","905","Grady O'Kon","ACTED_IN"
"58","453","Fred McKenzie","ACTED_IN"
"58","689","Joyce McGlynn","ACTED_IN"
"58","168","Cary Weimann","ACTED_IN"
"58","198","Marion Moore","ACTED_IN"
"58","669","Mrs. Viola Rau","ACTED_IN"
"58","787","Ramona Beier MD","ACTED_IN"
"58","915","Sheldon Wisoky II","ACTED_IN"
"58","789","Rosemary Trantow","ACTED_IN"
"59","784","Gwendolyn Mohr-Will IV","ACTED_IN"
"59","88","Oliver Harber","ACTED_IN"
