id,title,rating
"84","Here Without You","1.4"
"85","Slow Poke","2.9"
"86","A Whiter Shade of Pale","7.9"
"87","Monday Monday","6.2"
"88","All Shook Up","3.7"
"89","Love In This Club","1"
"90","The Power of Love","1.9"
"91","This Land is Your Land","10"
"92","(You Keep Me) Hangin' On","0.8"
"93","Hard to Say I'm Sorry","4.6"
"94","These Boots Are Made For Walking","4.5"
"95","Give Me Everything","1.3"
"96","Tequila","2.3"
"97","Feel Good Inc","6.1"
"98","I'll Take You There","1.7"
"99","Morning Train (Nine to Five)","2.2"
"100","Born in the USA","2.9"
"101","Let's Hear it For the Boy","9.7"
"102","The Way You Move","1.7"
"103","Yellow Rose of Texas","6.3"
"104","Be Bop a Lula","4"
"105","Night Fever","1.5"
"106","I Can Dream","3.8"
"107","Rhinestone Cowboy","8.9"
"108","Harbour Lights","9.5"
"109","The Love You Save","6"
"110","Kansas City","3.3"
"111","Big Girls Don't Cry","7.9"
"112","Wild Wild West","2.7"
"113","Hanky Panky","2.8"
"114","I Kissed A Girl","4.5"
"115","La Bamba","2.6"
"116","April Showers","1.7"
"117","Will You Love Me Tomorrow","6.5"
"118","Without Me","1.9"
"119","Brandy (You're A Fine Girl)","1.1"
"120","Hurt So Good","2.1"
"121","Love Will Keep Us Together","6.8"
"122","Physical","5.9"
"123","The Joker","0.1"
"124","Like a Rolling Stone","7.4"
"125","Wedding Bell Blues","7.1"
"126","Creep","7.1"
"127","It's Now Or Never","5.6"
"128","Bye","9.1"
"129","Morning Train (Nine to Five)","3.8"
"130","Faith","5.4"
"131","All You Need is Love","7.9"
"132","Can't Help Falling in Love","6.7"
"133","Sweet Dreams (Are Made of This)","4.2"
"134","What's Going On?","4.5"
"135","Another Day in Paradise","5.1"
"136","Ironic","9.5"
"137","Happy Together","8.9"
"138","YMCA","3.4"
"139","Cherish","7.7"
"140","Ain't Misbehavin'","2.9"
"141","God Bless America","8.4"
"142","All Shook Up","8.5"
"143","Unbelievable","4.4"
"144","Footloose","0.6"
"145","Paper Doll","1.6"
"146","Disturbia","0.5"
"147","Weak","0.5"
"148","The Girl From Ipanema","5.2"
"149","Do You Love Me?","6.6"
"150","The Boy is Mine","3.1"
"151","One O'Clock Jump","3"
"152","Till I Waltz Again With You","5.9"
"153","Faith","6.3"
"154","Baker Street","8.8"
"155","Creep","1"
"156","Give Me Everything","8.6"
"157","Paper Doll","6.8"
"158","He's So Fine","2.9"
"159","Right Back Where We Started From","2.3"
"160","YMCA","1.9"
"161","Magic","2.6"
"162","Kiss & Say Goodbye","3.6"
"163","This Guy's in Love With You","10"
"164","Soldier Boy","8.6"
"165","A String of Pearls","3.5"
"166","American Woman","7.2"
"167","A Woman in Love","2.8"
"168","Born to Run","8.1"
"169","T For Texas (Blue Yodel No 1)","5.5"
"170","St George & the Dragonette","6.1"
"171","Love Me Tender","5.1"
"172","I Will Always Love You","5"
"173","Hungry Heart","7.1"
"174","How Much is That Doggy in the Window?","7.2"
"175","Are You Lonesome Tonight?","4.4"
"176","That's Amore","4.3"
"177","Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)","1.2"
"178","How to Save a Life","0.6"
"179","Hot Stuff","5.3"
"180","Endless Love","9"
"181","Open Arms","7.9"
"182","Chattanoogie Shoe-Shine Boy","8.1"
"183","I Feel For You","7.9"
"184","Peggy Sue","6.8"
"185","Wannabe","7.1"
"186","Jump","9.8"
"187","Fly Robin Fly","2.1"
"188","Let Me Call You Sweetheart","1.2"
"189","Paperback Writer","6.5"
"190","I Swear","1.1"
"191","Crocodile Rock","4.6"
"192","All Night Long (All Night)","7.5"
"193","Bad Romance","0.5"
"194","One of These Nights","5.2"
"195","Rags to Riches","7.9"
"196","Hair","6.9"
"197","On My Own","9.2"
"198","I Can Help","4.8"
"199","Personality","1.8"
"200","Wheel of Fortune","5.6"
"201","Got to Give it Up","1.3"
"202","Get Down Tonight","8"
"203","19th Nervous Breakdown","9.1"
"204","Physical","7.7"
"205","Ebony & Ivory","5.4"
"206","The Song From Moulin Rouge (Where Is Your Heart)","8.3"
"207","That Lucky Old Sun (Just Rolls Around Heaven All Day)","1.5"
"208","Hotel California","3.8"
"209","Fallin'","1.4"
"210","Ol' Man River","2.6"
"211","Endless Love","8.2"
"212","(Sittin' On) the Dock of the Bay","1.5"
"213","It's All in the Game","1.6"
"214","I Got You (I Feel Good)","7.7"
"215","He'll Have to Go","6.8"
"216","Kiss You All Over","2.1"
"217","Boulevard of Broken Dreams","1.5"
"218","Sh-Boom (Life Could Be a Dream)","5.6"
"219","Hello","1.5"
"220","Only You (And You Alone)","9.9"
"221","Judy in Disguise (With Glasses)","4.2"
"222","Chapel of Love","2.4"
"223","Horse With No Name","5.8"
"224","She Drives Me Crazy","5.7"
"225","Mule Train","6.5"
"226","You Are the Sunshine of My Life","8.2"
"227","Rock Your Baby","9.3"
"228","I Love Rock 'n' Roll","1.7"
"229","Viva La Vida","8.1"
"230","Girls Just Wanna Have Fun","6.8"
"231","California Dreamin'","3.2"
"232","Tammy","9.7"
"233","Working My Way Back to You","9.1"
"234","Sweet Child O' Mine","5.8"
"235","Loving You","8.7"
"236","White Rabbit","3"
"237","Hair","7.7"
"238","I Can See Clearly Now","1.1"
"239","Umbrella","6.7"
"240","My Heart Will Go On","6.2"
"241","The Wanderer","7"
"242","One More Try","8.9"
"243","Tossing & Turning","2.1"
"244","Ironic","6.4"
"245","Go Your Own Way","9.6"
"246","Imagine","1.7"
"247","Imagine","8.7"
"248","Revolution","8.2"
"249","I Only Have Eyes For You","4.6"
"250","Lean On Me","5.6"
"251","Judy in Disguise (With Glasses)","0.1"
"252","Arthur's Theme (Best That You Can Do)","6.8"
"253","Shake Down","1.7"
"254","Use Somebody","3.9"
"255","School's Out","8.7"
"256","Time After Time","2.6"
"257","Crazy For You","3.5"
"258","Nature Boy","8.9"
"259","Locked Out Of Heaven","9.7"
"260","Thank You (Falettinme be Mice Elf Again)","7.9"
"261","Joy to the World","9.6"
"262","Strangers in the Night","7.4"
"263","Livin' La Vida Loca","7.2"
"264","Wheel of Fortune","7.2"
"265","The Morning After","0.1"
"266","Something","4.3"
"267","Lady","7.8"
"268","Shake You Down","3.1"
"269","Your Cheatin' Heart","6.2"
"270","You Send Me","4.1"
"271","Proud Mary","7.4"
"272","Stairway to Heaven","0.6"
"273","Cheek to Cheek","3.9"
"274","What's Love Got to Do With It?","3.5"
"275","Can You Feel the Love Tonight","9.3"
"276","Groovin'","1.1"
"277","Just Dance","2.7"
"278","96 Tears","1.6"
"279","Oh Happy Day","8.7"
"280","Keep On Loving You","1.1"
"281","Papa's Got a Brand New Bag","0"
"282","God Bless the Child","4.5"
"283","Boogie Woogie Bugle Boy","10"
"284","Dancing in the Street","3.9"
"285","Money For Nothing","3.5"
"286","T For Texas (Blue Yodel No 1)","4"
"287","Hey There Delilah","2.2"
"288","Another One Bites the Dust","9.9"
"289","This Used to Be My Playground","8.3"
"290","Grenade","9.2"
"291","Reach Out (I'll Be There)","2.5"
"292","One O'Clock Jump","8.8"
"293","Being With You","8"
"294","Roses Are Red","6.4"
"295","My Sweet Lord","4.7"
"296","Kryptonite","8.5"
"297","War","0.3"
"298","The Long & Winding Road","3.5"
"299","Ain't That a Shame","1.9"
"300","The Hustle","5.5"
"301","I Write the Songs","0.1"
"302","Mood Indigo","9"
"303","I'll Walk Alone","1.3"
"304","Open Arms","6.2"
"305","My Heart Will Go On","4.3"
"306","Revolution","9.1"
"307","Glamorous","9.4"
"308","Le Freak","7.1"
"309","Rolling In The Deep","0.1"
"310","You've Lost That Lovin' Feelin'","2.3"
"311","The Power of Love","6.2"
"312","Single Ladies (Put A Ring On It)","5.6"
"313","We Belong Together","3.2"
"314","Glamorous","2.9"
"315","Rapture","4.9"
"316","Need You Now","8"
"317","Rock the Casbah","2.3"
"318","Unchained Melody","3.6"
"319","Ironic","1"
"320","Green River","3.8"
"321","Nothing Compares 2 U","0.6"
"322","I Kissed A Girl","0.2"
"323","Blueberry Hill","9.3"
"324","Big Bad John","2.1"
"325","Physical","8.5"
"326","Na Na Hey Hey (Kiss Him Goodbye)","4.2"
"327","You're Beautiful","2.1"
"328","Kiss","1.2"
"329","Time of the Season","1.8"
"330","Kung Fu Fighting","9.3"
"331","Up Around the Bend","5.6"
"332","Wooly Bully","1.5"
"333","Bad Romance","4.8"
"334","Ain't No Mountain High Enough","7.9"
"335","Mrs Brown You've Got a Lovely Daughter","5.8"
"336","I Need You Now","2.8"
"337","I'll Walk Alone","5.7"
"338","Crimson & Clover","7.7"
"339","Long Cool Woman in a Black Dress","7.3"
"340","Disco Duck","9.4"
"341","Glory of Love","1.8"
"342","Stand By Me","7.1"
"343","Wichita Lineman","4"
"344","Hold On","9.1"
"345","I Swear","6.7"
"346","La Bamba","0.8"
"347","Since U Been Gone","3.1"
"348","Happy Days Are Here Again","3.6"
"349","I Write the Songs","5.2"
"350","Sweet Soul Music","8.3"
"351","Sledgehammer","0.4"
"352","Dancing in the Street","2"
"353","Thank You (Falettinme be Mice Elf Again)","4.2"
"354","Eve of Destruction","3.1"
"355","Chances Are","0.1"
"356","Band On the Run","0.5"
"357","All Shook Up","0.9"
"358","Candy Man","0.1"
"359","She's a Lady","4.4"
"360","Hungry Heart","2.2"
"361","Give Me Everything","5.9"
"362","Eve of Destruction","7"
"363","Soldier Boy","1.5"
"364","I Can See Clearly Now","9.7"
"365","The Prisoner's Song","5.7"
"366","Tonight's the Night (Gonna Be Alright)","7.2"
"367","I Walk the Line","1"
"368","What's Love Got to Do With It?","4.4"
"369","Joy to the World","8.5"
"370","Mama Told Me Not to Come","3.2"
"371","Walk Don't Run","4.3"
"372","Harper Valley PTA","4.4"
"373","Tom Dooley","8.3"
"374","Every Little Thing She Does is Magic","3.7"
"375","Black Or White","0.5"
"376","You Belong to Me","6.7"
"377","Some of These Days","3.5"
"378","All You Need is Love","0.8"
"379","Smoke Gets in Your Eyes","1.6"
"380","Good Times","4.4"
"381","Low","1.8"
"382","The Sweet Escape","1.2"
"383","You Don't Bring Me Flowers","8.5"
"384","Brown Sugar","6.8"
"385","Georgy Girl","2.2"
"386","Someday","6.9"
"387","Hot Stuff","10"
"388","Save the Best For Last","0.2"
"389","Mood Indigo","8.3"
"390","We Didn't Start the Fire","5.7"
"391","We Got The Beat","4.5"
"392","Sixteen Tons","4.1"
"393","Family Affair","2.3"
"394","Makin' Whoopee","10"
"395","All My Lovin' (You're Never Gonna Get It)","2.6"
"396","Raindrops Keep Falling On My Head","0.7"
"397","Yesterday","9"
"398","I Want You Back","9.5"
"399","The Gypsy","3.5"
"400","Another Night","4.2"
"401","The Last Dance","2.4"
"402","Iris","5.1"
"403","I Heard it Through the Grapevine","5.5"
"404","Ol' Man River","7.8"
"405","Bitter Sweet Symphony","1.6"
"406","Rock Your Baby","6.8"
"407","Livin' La Vida Loca","4.3"
"408","Candle in the Wind '97","4.6"
"409","Royals","7.9"
"410","Ring My Bell","7.3"
"411","Baby Love","2.4"
"412","12th Street Rag","9.8"
"413","We Can Work it Out","0.7"
"414","I Went to Your Wedding","8.4"
"415","You Light Up My Life","4.7"
"416","Band of Gold","4"
"417","Night Fever","3.4"
"418","Stranger On the Shore","3.4"
"419","One of These Nights","8.5"
"420","Hero","5.9"
"421","Wooly Bully","8.3"
"422","Hold On","9.3"
"423","We Belong Together","3.1"
"424","Come On Eileen","0.9"
"425","Alone Again (Naturally)","1.6"
"426","If You Don't Know Me By Now","2.7"
"427","I'll Be Missing You","9.5"
"428","Why Don't You Believe Me?","2.8"
"429","The First Time Ever I Saw Your Face","7.5"
"430","School's Out","9.3"
"431","I Heard it Through the Grapevine","1.4"
"432","Locked Out Of Heaven","9.8"
"433","Black Velvet","1.9"
"434","Let's Hear it For the Boy","5.6"
"435","Cracklin' Rosie","7.8"
"436","Rock the Casbah","9.1"
"437","Cry","4.7"
"438","Love Letters in the Sand","6.9"
"439","It's All in the Game","4.3"
"440","I Can't Get Started","4.4"
"441","Single Ladies (Put A Ring On It)","0.3"
"442","Imagine","1.7"
"443","Travellin' Man","1.3"
"444","Memories Are Made of This","3"
"445","Rhapsody in Blue","0.1"
"446","American Pie","8.7"
"447","Shadow Dancing","0.9"
"448","The Power of Love","3.9"
"449","Honky Tonk Woman","2"
"450","Rosanna","1.5"
"451","Honky Tonk","3.7"
"452","Crazy Little Thing Called Love","6.3"
"453","Runaround Sue","6"
"454","Feel Like Making Love","3.3"
"455","Colors of the Wind","3.6"
"456","Abracadabra","3.2"
"457","I'll Never Smile Again","6.5"
"458","That'll Be the Day","8.4"
"459","Sledgehammer","3.4"
"460","American Woman","5.8"
"461","Wooly Bully","3.7"
"462","Superstar","8.1"
"463","Tie a Yellow Ribbon 'round the Old Oak Tree","0.2"
"464","Manana (Is Soon Enough For Me)","1.4"
"465","Say It Right","3.6"
"466","I'll Never Smile Again","7.1"
"467","Fantasy","4.1"
"468","Crazy For You","5.1"
"469","Nothin' on You","5"
"470","Pony Time","6"
"471","A Boy Named Sue","1.7"
"472","Wishing Well","0.1"
"473","Pony Time","5.6"
"474","Tie a Yellow Ribbon 'round the Old Oak Tree","6.9"
"475","Hurt So Good","0.3"
"476","Come On-a My House","2.9"
"477","The Glow-Worm","7.1"
"478","Crazy","1.7"
"479","Tha Crossroads","5.1"
"480","Don't Speak","2.3"
"481","Sunshine of Your Love","4.8"
"482","Frenesi","6.9"
"483","Another Day in Paradise","8.1"
"484","Wake Me Up Before You Go Go","9.6"
"485","Summer in the City","9.8"
"486","Because I Love You (The Postman Song)","0"
"487","Goodbye Yellow Brick Road","2.9"
"488","Mmmbop","0.6"
"489","Me & Bobby McGee","7.5"
"490","I Gotta Feeling","9.6"
"491","Party Rock Anthem","1.8"
"492","Lose Yourself","3.3"
"493","Georgia On My Mind","3.4"
"494","Ball of Confusion (That's What the World is Today)","5"
"495","Right Back Where We Started From","6.1"
"496","The Way We Were","9.1"
"497","Look Away","4"
"498","Bye","9.6"
"499","Revolution","0.7"
"500","Seasons in the Sun","2.6"
"501","I'll Never Smile Again","2.6"
"502","Ray of Light","5.5"
"503","Soldier Boy","7"
"504","I Believe I Can Fly","6.5"
"505","Tears of a Clown","9.3"
"506","We Are Young","3.2"
"507","You make Me Wanna","2.9"
"508","Ac-cent-tchu-ate the Positive","8.5"
"509","Without You","0.9"
"510","A Whole New World (Aladdin's Theme)","2"
"511","Airplanes","2.1"
"512","Without Me","9"
"513","Smoke On the Water","8.4"
"514","St Louis Blues","9.8"
"515","Cry","9.1"
"516","Queen of Hearts","9.2"
"517","To Sir","7.2"
"518","(Sexual) Healing","5.7"
"519","Personality","4.2"
"520","Miss You","2.7"
"521","Where is the Love?","0.3"
"522","Change the World","6.3"
"523","There goes my baby","5.2"
"524","Uncle Albert (Admiral Halsey)","7.7"
"525","American Pie","0"
"526","Play That Funky Music","2"
"527","We Will Rock You","7.8"
"528","I Can't Get Started","6.8"
"529","Thank You (Falettinme be Mice Elf Again)","8.9"
"530","Time After Time","2.5"
"531","I've Heard That Song Before","3.4"
"532","Ball of Confusion (That's What the World is Today)","2.1"
"533","Chapel of Love","2.9"
"534","Nothin' on You","8.6"
"535","You Send Me","3.9"
"536","I Swear","7.6"
"537","Rock the Boat","9.1"
"538","Shining Star","6.4"
"539","Pon De Replay","9"
"540","School's Out","9.4"
"541","Take My Breath Away","7.5"
"542","Cheek to Cheek","2.4"
"543","How Do You Mend a Broken Heart","3"
"544","Be Bop a Lula","7.8"
"545","You Make Me Feel Like Dancing","8.9"
"546","Don't Fence Me In","0.1"
"547","Yesterday","6.5"
"548","Tennessee Waltz","8.3"
"549","Love Train","5.7"
"550","Nothin' on You","7"
"551","Karma Chameleon","3"
"552","Purple Rain","6.5"
"553","Cathy's Clown","1"
"554","Layla","3.6"
"555","Mr Big Stuff","7.5"
"556","Dreamlover","6.8"
"557","December 1963 (Oh What a Night)","0.5"
"558","Pistol Packin' Mama","1.5"
"559","Nature Boy","7.3"
"560","Dizzy","7.2"
"561","Hold On","4.8"
"562","Don't Speak","2"
"563","Boogie Woogie Bugle Boy","5.3"
"564","Come Together","5.3"
"565","Maybellene","4.2"
"566","Sweet Georgia Brown","7.1"
"567","We Didn't Start the Fire","1.1"
"568","Hey Jude","1.9"
"569","Apologize","5.5"
"570","Pick Up the Pieces","3.3"
"571","Unforgettable","5.1"
"572","Cracklin' Rosie","9.3"
"573","I'm Your Boogie Man","4.8"
"574","Auf Wiederseh'n Sweetheart","4.2"
"575","Apologize","1.7"
"576","Bleeding Love","9.2"
"577","Rhinestone Cowboy","0.9"
"578","Lose Yourself","4.9"
"579","Ticket to Ride","4.6"
"580","Sexyback","5.4"
"581","That's the Way Love Goes","5.4"
"582","She's a Lady","7.2"
"583","Body & Soul","5"
"584","The Streak","2.1"
"585","Caldonia Boogie (What Makes Your Big Head So Hard)","3.6"
"586","Unbelievable","5"
"587","Hey Paula","5.3"
"588","Karma Chameleon","2.9"
"589","Total Eclipse of the Heart","1.1"
"590","I Can Help","8.9"
"591","Bridge Over Troubled Water","7.1"
"592","I Can't Get Next to You","1.6"
"593","Purple Rain","0.1"
"594","Crazy For You","3.6"
"595","Baby One More Time","6"
"596","Dance to the Music","2.2"
"597","Up Where We Belong","3.7"
"598","Poker Face","3.7"
"599","I Can't Get Started","4.7"
"600","I Wanna Love You","7.6"
"601","Earth Angel","0.3"
"602","End of the Road","8.1"
"603","You Were Meant for Me","4.5"
"604","Bad Romance","0.1"
"605","California Dreamin'","6.6"
"606","Hello","8.3"
"607","Superstition","7.5"
"608","The Great Pretender","4.1"
"609","You'll Never Know","5.5"
"610","Jessie's Girl","4.3"
"611","Big Girls Don't Cry","6.7"
"612","Can't Get Enough of Your Love","7.1"
"613","Breaking Up is Hard to Do","9.9"
"614","Walk This Way","6.5"
"615","Bad Day","4.3"
"616","Night & Day","2.2"
"617","Hero","5.7"
"618","Jumpin' Jack Flash","1.8"
"619","Truly Madly Deeply","7.2"
"620","Maggie May","0.9"
"621","White Christmas","0.1"
"622","Chattanooga Choo Choo","2.5"
"623","Take a Bow","9.3"
"624","Fire & Rain","9.4"
"625","This Guy's in Love With You","9.8"
"626","Foolish Games","9.2"
"627","Change the World","5.9"
"628","Tutti Frutti","5.4"
"629","Kiss Me","2.1"
"630","Every Little Thing She Does is Magic","1.6"
"631","Cat's in the Cradle","9"
"632","Kiss & Say Goodbye","3.7"
"633","Smoke! Smoke! Smoke! (That Cigarette)","4"
"634","Let's Stay Together","3.1"
"635","Rags to Riches","4.1"
"636","Burn","10"
"637","How High the Moon","8.8"
"638","Pon De Replay","9.5"
"639","Here Without You","7.9"
"640","Viva La Vida","8.9"
"641","Rudolph","6.2"
"642","Dizzy","0.2"
"643","I Can't Get Next to You","6.9"
"644","Hey Baby","3.3"
"645","Ebony & Ivory","4.8"
"646","Wild Wild West","9.2"
"647","Angie","1.9"
"648","Disturbia","1.2"
"649","Stay (I Missed You)","8.3"
"650","Georgia On My Mind","4.4"
"651","You've Got a Friend","3.5"
"652","The Way We Were","7.8"
"653","Baby Got Back","7.7"
"654","I Want to Hold Your Hand","9.8"
"655","Do Ya Think I'm Sexy?","5"
"656","My Life","3.7"
"657","Wicked Game","2.4"
"658","Bitter Sweet Symphony","5.2"
"659","Queen of Hearts","1.5"
"660","Doo Wop (That Thing)","4.5"
"661","Don't Let the Sun Go Down On Me","7.6"
"662","Nobody Does it Better","3"
"663","What Goes Around Comes Around","3.1"
"664","Sunshine Superman","0.1"
"665","Sweet Home Alabama","6.5"
"666","Incense & Peppermints","9.8"
"667","The Sounds of Silence","2.6"
"668","Hips don't lie","2"
"669","Waterfalls","7.5"
"670","Honky Tonk","3.6"
"671","How You Remind Me","10"
"672","Moonlight Cocktail","7.8"
"673","Strange Fruit","8.7"
"674","Strawberry Fields Forever","5.2"
"675","Volare","6.9"
"676","Your Song","3.3"
"677","9 to 5","6.8"
"678","A Boy Named Sue","6.8"
"679","Working My Way Back to You","3.8"
"680","Chattanooga Choo Choo","8.2"
"681","Dreams","6.2"
"682","Time After Time","4.1"
"683","Puttin' on the Ritz","7.8"
"684","Low","7.6"
"685","School's Out","7.1"
"686","Ain't No Mountain High Enough","6.9"
"687","La Bamba","0.8"
"688","Cold","2.2"
"689","People Got to Be Free","5.2"
"690","I Honestly Love You","9.9"
"691","The Tracks of My Tears","1.2"
"692","Georgia On My Mind","0"
"693","Higher Love","3.5"
"694","I'm Walking Behind You","5.2"
"695","Memories Are Made of This","7.9"
"696","It's Still Rock 'n' Roll to Me","2"
"697","Stairway to Heaven","0.3"
"698","Change the World","1.4"
"699","We Got The Beat","8.2"
"700","Walk This Way","10"
"701","Kiss You All Over","7.4"
"702","Wind Beneath My Wings","2.2"
"703","Chain of Fools","8.3"
"704","Pop Muzik","3.3"
"705","That Old Black Magic","7.4"
"706","The Hustle","8.7"
"707","Bette Davis Eyes","3.3"
"708","The Way You Look Tonight","3.8"
"709","Cherry Pink & Apple Blossom White","5.4"
"710","One Sweet Day","5.1"
"711","Eye of the Tiger","9.7"
"712","Swanee","9.3"
"713","(Put Another Nickel In) Music! Music! Music!","6.5"
"714","Tik-Toc","1.6"
"715","We've Only Just Begun","9.9"
"716","Be Bop a Lula","6.9"
"717","50 Ways to Leave Your Lover","0.6"
"718","Gangsta's Paradise","0.3"
"719","Under the Bridge","2.3"
"720","Rag Mop","5.7"
"721","The Twist","4.2"
"722","Behind Closed Doors","0.1"
"723","Car Wash","5.1"
"724","Pop Muzik","7.1"
"725","My Love","0.3"
"726","Cheek to Cheek","8.9"
"727","School's Out","0.8"
"728","This Used to Be My Playground","7.1"
"729","Lookin' Out My Back Door","8"
"730","Fortunate Son","7"
"731","Heartbreak Hotel","9.2"
"732","Penny Lane","7.2"
"733","Chattanoogie Shoe-Shine Boy","6.9"
"734","Theme From 'A Summer Place'","6.1"
"735","Umbrella","0.3"
"736","Upside Down","8.3"
"737","How to Save a Life","6"
"738","You've Lost That Lovin' Feelin'","8.5"
"739","Stayin' Alive","1.3"
"740","Big Bad John","3.8"
"741","In the Ghetto","1"
"742","Take The 'A' Train","9"
"743","Lean On Me","7.7"
"744","Spinning Wheel","0"
"745","Over the Rainbow","2.6"
"746","Private Eyes","0.3"
"747","I Walk the Line","3"
"748","After You've Gone","7.5"
"749","How to Save a Life","8.3"
"750","Pop Muzik","6.3"
"751","Family Affair","6.1"
"752","Private Eyes","2.2"
"753","Johnny B Goode","8.1"
"754","Tequila","1.6"
"755","Don't Speak","3.9"
"756","A String of Pearls","7.1"
"757","Hanky Panky","7.5"
"758","Killing Me Softly With His Song","0.2"
"759","Ain't Misbehavin'","2.6"
"760","Miss You","1.6"
"761","He'll Have to Go","3.1"
"762","Glamorous","1.1"
"763","Time After Time","0.1"
"764","Tonight's the Night (Gonna Be Alright)","0.5"
"765","Mr Tambourine Man","4.8"
"766","Ray of Light","5.9"
"767","Unbelievable","5.6"
"768","Karma Chameleon","7.6"
"769","I'll be seeing you","9.9"
"770","Have You Ever Really Loved a Woman?","0.9"
"771","Boogie Oogie Oogie","4.4"
"772","Tonight's the Night (Gonna Be Alright)","2.5"
"773","Tonight's the Night (Gonna Be Alright)","1.1"
"774","Like a Rolling Stone","5.3"
"775","Tiger Rag","1"
"776","Rum & Coca-Cola","2"
"777","That's What Friends Are For","1.8"
"778","Sentimental Journey","0.1"
"779","Wake Up Little Susie","4.7"
"780","We Can Work it Out","3.3"
"781","Spanish Harlem","9.5"
"782","Papa Don't Preach","1.7"
"783","Love Child","4.9"
"784","How Much is That Doggy in the Window?","3.7"
"785","Kiss & Say Goodbye","6.1"
"786","It Had to Be You","7.2"
"787","Karma Chameleon","5.4"
"788","The Girl From Ipanema","6.6"
"789","Get Off of My Cloud","2.8"
"790","Don't Let the Sun Go Down On Me","8.1"
"791","Time of the Season","7.1"
"792","You Can't Hurry Love","9.5"
"793","Black Velvet","6.3"
"794","Can't Help Falling in Love","0.9"
"795","(Everything I Do) I Do it For You","4.5"
"796","Believe","3.5"
"797","This Ole House","7.3"
"798","Walk On the Wild Side","2.1"
"799","Nights in White Satin","3.2"
"800","I'll be seeing you","2.8"
"801","Revolution","7.5"
"802","Whispering","7.5"
"803","All I Have to Do is Dream","6.5"
"804","The Long & Winding Road","2.3"
"805","Keep On Loving You","0.4"
"806","Vision of Love","4.2"
"807","Tom Dooley","2.1"
"808","Good Vibrations","7.8"
"809","(Everything I Do) I Do it For You","8.5"
"810","I'll Be There","2.8"
"811","Single Ladies (Put A Ring On It)","4.4"
"812","Memories Are Made of This","0.6"
"813","Monday Monday","8.6"
"814","Some of These Days","0.8"
"815","E.T.","2.9"
"816","Jumpin' Jack Flash","9.7"
"817","Coming Up","6.3"
"818","Don't Stop 'Til You Get Enough","2.9"
"819","I Think I Love You","4.4"
"820","West End Girls","7.7"
"821","Sweet Child O' Mine","5.5"
"822","Lookin' Out My Back Door","6.3"
"823","Without You","0.4"
"824","The Gypsy","5.7"
