id,title,rating
"166","This Used to Be My Playground","7.1"
"167","Theme From 'A Summer Place'","4.8"
"168","Paper Doll","3.1"
"169","Leaving","3.3"
"170","Travellin' Band","7.1"
"171","Kung Fu Fighting","6.8"
"172","Yellow Rose of Texas","7.5"
"173","Jumpin' Jack Flash","7.8"
"174","Gold Digger","8.7"
"175","This Diamond Ring","1.1"
"176","Band On the Run","2"
"177","U Got it Bad","4.9"
"178","Stop! in the Name of Love","6.3"
"179","Judy in Disguise (With Glasses)","1"
"180","A Hard Day's Night","10"
"181","I Just Wanna Be Your Everything","2.8"
"182","Cat's in the Cradle","9.5"
"183","Red Red Wine","3.3"
"184","I'm So Lonesome I Could Cry","4.3"
"185","Without Me","5.7"
"186","Need You Now","4.5"
"187","You Can't Hurry Love","6.4"
"188","Ray of Light","5.3"
"189","The Loco-Motion","4.6"
"190","We've Only Just Begun","5.3"
"191","The Long & Winding Road","3.3"
"192","Dancing in the Street","8.5"
"193","Black Or White","6.4"
"194","I'll Walk Alone","0.5"
"195","Where Did Our Love Go","2.1"
"196","(You're My) Soul & Inspiration","9.2"
"197","Where Did Our Love Go","1.1"
"198","Only The Lonely (Know The Way I Feel)","0.3"
"199","April Showers","2.5"
"200","Magic Carpet Ride","5.1"
"201","Silly Love Songs","9.5"
"202","Hot Stuff","0.6"
"203","Private Eyes","4.1"
"204","Careless Whisper","2.4"
"205","My Heart Will Go On","9.8"
"206","Pick Up the Pieces","3.3"
"207","E.T.","2.9"
"208","Hey There Delilah","0.9"
"209","Return to Sender","9.6"
"210","Stay (I Missed You)","7.5"
"211","We Belong Together","6.9"
"212","House of the Rising Sun","0.6"
"213","Stayin' Alive","9.1"
"214","Wicked Game","7.4"
"215","Stay (I Missed You)","8.9"
"216","Crimson & Clover","9.5"
"217","Brother","1.3"
"218","Another Brick in the Wall (part 2)","8"
"219","Killing Me Softly With His Song","9.9"
"220","Turn! Turn! Turn! (To Everything There is a Season)","3.8"
"221","Wayward Wind","4.2"
"222","Touch Me","2.9"
"223","Tik-Toc","2.6"
"224","Cracklin' Rosie","1.2"
"225","You Belong With Me","7.7"
"226","Tonight's the Night (Gonna Be Alright)","5.4"
"227","Go Your Own Way","8.5"
"228","Papa Don't Preach","1.7"
"229","Riders On the Storm","3.8"
"230","Weak","8.3"
"231","You Make Me Feel Brand New","9.6"
"232","Cars","8.6"
"233","Paper Doll","5.1"
"234","Escape (The Pina Colada Song)","9.6"
"235","Where Did Our Love Go","1.6"
"236","Over There","3.1"
"237","Big Bad John","1.3"
"238","Freebird","8.2"
"239","Papa Don't Preach","2.9"
"240","Thriller","3.1"
"241","Soldier Boy","7.4"
"242","I Can't Go For That (No Can Do)","0.6"
"243","Dance to the Music","4.9"
"244","California Girls","4.1"
"245","Kiss","9.3"
"246","Rush Rush","8.8"
"247","Ray of Light","1.3"
"248","Suspicious Minds","4.9"
"249","Funkytown","5.3"
"250","Billie Jean","3"
"251","Walk This Way","7.2"
"252","La Bamba","9.7"
"253","This Love","2.8"
"254","Night & Day","9.7"
"255","Wake Me Up Before You Go Go","8.7"
"256","Theme From 'A Summer Place'","8.3"
"257","I'm So Lonesome I Could Cry","7.9"
"258","Papa's Got a Brand New Bag","6.4"
"259","Last Train to Clarksville","0"
"260","The First Time Ever I Saw Your Face","1.1"
"261","Yakety Yak","1.8"
"262","Walk Don't Run","4.6"
"263","She's a Lady","2.8"
"264","Eve of Destruction","7.5"
"265","Sugar Sugar","2.1"
"266","Minnie the Moocher","0.2"
"267","Gives You Hell","0.3"
"268","Little Darlin'","6.3"
"269","12th Street Rag","5.7"
"270","Everyday People","5.8"
"271","Hold On","1.6"
"272","Love's Theme","7.2"
"273","Let Me Call You Sweetheart","3.7"
"274","Hanky Panky","1.2"
"275","Stronger","1.4"
"276","Nobody Does it Better","5.6"
"277","Bette Davis Eyes","1.8"
"278","I Only Have Eyes For You","6.9"
"279","Boogie Oogie Oogie","1.6"
"280","Stardust","0.9"
"281","Chances Are","5.7"
"282","I Will Always Love You","4.2"
"283","A Hard Day's Night","8.6"
"284","Philadelphia Freedom","6"
"285","Rush Rush","2.1"
"286","Man in the Mirror","6.5"
"287","Tammy","3.3"
"288","Hot Stuff","6.9"
"289","Lean On Me","5.2"
"290","You Really Got Me","1.9"
"291","Save the Last Dance For Me","4.3"
"292","Get Back","5.5"
"293","Stronger","3.6"
"294","Never Gonna Give You Up","3.7"
"295","Gimme Some Lovin'","8.9"
"296","(Everything I Do) I Do it For You","0.2"
"297","Green Onions","1.1"
"298","Red Red Wine","5.1"
"299","Personality","5.8"
"300","Make Love to Me","2.1"
"301","Low","4.1"
"302","You're Still the One","9.3"
"303","Kiss & Say Goodbye","6.5"
"304","Greatest Love of All","3.5"
"305","I'm So Lonesome I Could Cry","5"
"306","Papa Was a Rolling Stone","7.1"
"307","It's All in the Game","3.6"
"308","Sweet Soul Music","3.2"
"309","Penny Lane","6.3"
"310","(You Keep Me) Hangin' On","7.2"
"311","Apologize","1"
"312","Some of These Days","3"
"313","That's What Friends Are For","3.5"
"314","My Eyes Adored You","6.8"
"315","You've Lost That Lovin' Feelin'","6.6"
"316","Harper Valley PTA","6.8"
"317","Bohemian Rhapsody","8.9"
"318","Ol' Man River","4.5"
"319","Tennessee Waltz","3.1"
"320","One Sweet Day","2.7"
"321","My Blue Heaven","5.1"
"322","Gypsies","3.5"
"323","ABC","2.3"
"324","Every Breath You Take","0.7"
"325","Got to Give it Up","6.5"
"326","Auf Wiederseh'n Sweetheart","6"
"327","Creep","6.2"
"328","Jailhouse Rock","4.9"
"329","Groove is in the Heart","3.5"
"330","With Or Without You","7.7"
"331","Don't You (Forget About Me)","4.6"
"332","Every Little Thing She Does is Magic","5.3"
"333","All I Have to Do is Dream","9.8"
"334","That's What Friends Are For","7.5"
"335","Bye Bye","9.9"
"336","Woman","1.6"
"337","I Can't Stop Loving You","9.9"
"338","Miss You Much","8.9"
"339","Rush Rush","5.5"
"340","In the Summertime","6.7"
"341","Nature Boy","6"
"342","We Are Young","4.8"
"343","The Wanderer","9.3"
"344","Indian Reservation (The Lament Of The Cherokee Reservation Indian)","9.7"
"345","Da Doo Ron Ron (When He Walked Me Home)","9.1"
"346","I'm Yours","8.5"
"347","Oh","6.6"
"348","Mickey","3.3"
"349","Twist & Shout","2"
"350","Another Day in Paradise","7.4"
"351","Royals","5"
"352","Theme From 'Shaft'","5.4"
"353","Rush Rush","3.9"
"354","Shake You Down","9.3"
"355","Save the Best For Last","3.7"
"356","Wild Wild West","8.7"
"357","Chattanoogie Shoe-Shine Boy","4.9"
"358","YMCA","5.2"
"359","Sir Duke","3.9"
"360","Kokomo","9.2"
"361","Cold","9.9"
"362","These Boots Are Made For Walking","7.4"
"363","Crocodile Rock","2"
"364","My Blue Heaven","3.5"
"365","A-Tisket A-Tasket","2.3"
"366","Rock the Boat","5"
"367","I Shot the Sheriff","6"
"368","Shout","2.3"
"369","Escape (The Pina Colada Song)","2.8"
"370","Baby Baby","0.4"
"371","I've Heard That Song Before","8.3"
"372","Stop! in the Name of Love","8.8"
"373","Whispering","5.4"
"374","Soldier Boy","8"
"375","Mr Tambourine Man","2.4"
"376","Time of the Season","6.9"
"377","Two Hearts","7.5"
"378","Be Bop a Lula","5.6"
"379","It's Now Or Never","6.9"
"380","Vogue","9"
"381","Make Love to Me","4.3"
"382","The Great Pretender","8.7"
"383","Take The 'A' Train","0.8"
"384","One Sweet Day","8"
"385","Reunited","9.3"
"386","Shout","4.5"
"387","You Light Up My Life","5"
"388","The Twist","3.2"
"389","Fantasy","0.1"
"390","Every Breath You Take","7.8"
"391","Happy Days Are Here Again","9.8"
"392","Disturbia","9.3"
"393","(I Can't Get No) Satisfaction","2.9"
"394","How to Save a Life","2.7"
"395","Come On Eileen","3.2"
"396","My Blue Heaven","0.1"
"397","Sugar Shack","6.3"
"398","Ring My Bell","2.9"
"399","She's a Lady","6.2"
"400","My Prayer","9.2"
"401","Make it With You","2.9"
"402","Good Vibrations","0.2"
"403","(You Keep Me) Hangin' On","6.4"
"404","Hotel California","5.7"
"405","Hanky Panky","3.7"
"406","In the End","0.2"
"407","Rosanna","7.3"
"408","It's My Party","0.6"
"409","My Eyes Adored You","7.3"
"410","Rags to Riches","5.6"
"411","Maniac","7.9"
"412","The Wanderer","1.4"
"413","Heart of Glass","6.1"
"414","Crazy For You","8.5"
"415","Hound Dog","8.1"
"416","My Heart Will Go On","3.2"
"417","Somethin' Stupid","0.9"
"418","Kiss From a Rose","0.6"
"419","Running Scared","3.4"
"420","With Or Without You","1.1"
"421","I'm Sorry","3.9"
"422","Can You Feel the Love Tonight","9.4"
"423","Swinging On a Star","9.7"
"424","Don't Fence Me In","1.7"
"425","Love is a Many Splendoured Thing","6.1"
"426","Living For the City","4.2"
"427","Hey Baby","6.8"
"428","1999","4.5"
"429","Shake You Down","1.9"
"430","Tennessee Waltz","6"
"431","Ghostbusters","9.7"
"432","Hot Child In The City","6.5"
"433","There goes my baby","8.9"
"434","Wedding Bell Blues","5.9"
"435","California Girls","7.8"
"436","Hey Jude","6.4"
"437","A Hard Day's Night","7.9"
"438","Do Ya Think I'm Sexy?","0.5"
"439","The Wanderer","6.3"
"440","Great Balls of Fire","6.2"
"441","Ballad of the Green Berets","8"
"442","Some Enchanted Evening","4.9"
"443","Mama Told Me Not to Come","1.1"
"444","Love Child","8.7"
"445","Like a Prayer","4.6"
"446","Hey There Delilah","7"
"447","American Woman","9.5"
"448","Surfin' USA","2.3"
"449","Lady","1"
"450","(I've Got a Gal In) Kalamazoo","9.1"
"451","Glory of Love","7.8"
"452","For What It's Worth (Stop","2.7"
"453","Chattanooga Choo Choo","5.1"
"454","You're the One That I Want","7.4"
"455","One Sweet Day","3.3"
"456","Cherish","1.2"
"457","Pon De Replay","4.7"
"458","At Last","6.9"
"459","War","0.5"
"460","The Way You Move","1.8"
"461","In Da Club","1.5"
"462","Bad","2.7"
"463","Dreams","7.9"
"464","Up Around the Bend","3.1"
"465","Another Day in Paradise","0.9"
"466","Bad Moon Rising","2.6"
"467","The Sounds of Silence","5.3"
"468","She Drives Me Crazy","9"
"469","Papa Don't Preach","6.3"
"470","We Are Young","2.9"
"471","Black Velvet","0.1"
"472","Night & Day","5.4"
"473","Someday","4"
"474","Mona Lisa","9.9"
"475","You're Still the One","3.5"
"476","Don't Leave Me This Way","5.9"
"477","To Sir","4.8"
"478","Fallin'","4.5"
"479","War","1.7"
"480","American Pie","2.3"
"481","Ac-cent-tchu-ate the Positive","5.8"
"482","My Blue Heaven","4.2"
"483","Creep","3"
"484","Ole Buttermilk Sky","0.9"
"485","The Last Dance","8.3"
"486","Waiting For a Girl Like You","1.9"
"487","Hound Dog","3.6"
"488","Again","6"
"489","Another Day in Paradise","7.7"
"490","Stay (I Missed You)","9.7"
"491","Bennie & the Jets","2.6"
"492","Rags to Riches","1.9"
"493","You're So Vain","0.6"
"494","U Got it Bad","7.1"
"495","Great Balls of Fire","4"
"496","The Song From Moulin Rouge (Where Is Your Heart)","5"
"497","Whip It","1.4"
"498","Pon De Replay","0.9"
"499","Sexyback","5.7"
"500","Superstition","4.5"
"501","Right Back Where We Started From","7.3"
"502","Say Say Say","7"
"503","Waiting For a Girl Like You","1"
"504","Over There","9.1"
"505","Arthur's Theme (Best That You Can Do)","9.3"
"506","Straight Up","0.9"
"507","Summertime Blues","1"
"508","Goodbye Yellow Brick Road","7.5"
"509","Spinning Wheel","5.2"
"510","Brand New Key","6.3"
"511","Ring My Bell","5.7"
"512","Why Don't You Believe Me?","3.5"
"513","Papa Was a Rolling Stone","8.4"
"514","No One","5.8"
"515","Whatcha Say","0.2"
"516","Rock the Casbah","1.3"
"517","(It's No) Sin","9.8"
"518","In the End","0.9"
"519","Daydream Believer","0.3"
"520","I Love Rock 'n' Roll","9"
"521","Cry Like a Baby","0.6"
"522","The Thing","5.3"
"523","Suspicious Minds","8.8"
"524","Stagger Lee","6"
"525","Mrs Robinson","9.2"
"526","Unchained Melody","9.2"
"527","Silly Love Songs","0.1"
"528","Lose Yourself","3.5"
"529","Yakety Yak","2.2"
"530","Georgy Girl","4.6"
"531","Brown Eyed Girl","8.4"
"532","Incense & Peppermints","9.5"
"533","Something","1.5"
"534","Hollaback Girl","8.7"
"535","Fame","1.9"
"536","Take My Breath Away","3.7"
"537","Rhinestone Cowboy","0.5"
"538","Sixteen Tons","6.9"
"539","Papa Don't Preach","3.9"
"540","Sleepy Lagoon","7.5"
"541","Prisoner of Love","6"
"542","Unbelievable","9.7"
"543","You Belong With Me","9.4"
"544","You Don't Have to Be a Star (To Be in My Show)","9.6"
"545","Blue Tango","3.7"
"546","The Last Dance","3.6"
"547","The Way You Look Tonight","1.7"
"548","(Sittin' On) the Dock of the Bay","8.5"
"549","Dance to the Music","1.1"
"550","Somethin' Stupid","1.8"
"551","The Wanderer","1.7"
"552","Can You Feel the Love Tonight","6.4"
"553","Blueberry Hill","0.3"
"554","Disco Duck","8"
"555","Cold","4.6"
"556","Beautiful Day","8.1"
"557","Celebration","8.6"
"558","My Life","9.7"
"559","Fly Robin Fly","9.7"
"560","Breathe","9.1"
"561","Sweet Georgia Brown","9.1"
"562","Hang On Sloopy","7.5"
"563","Ballad of the Green Berets","8.7"
"564","Beat It","3"
"565","Lola","5.9"
"566","The Loco-Motion","1.1"
"567","Take On Me","1.6"
"568","Return to Sender","1.6"
"569","Do Ya Think I'm Sexy?","1.4"
"570","Royals","8.6"
"571","Promiscuous","9.6"
"572","Sailing","7.1"
"573","Ain't Misbehavin'","4.3"
"574","The Letter","2.2"
"575","Joy to the World","6.8"
"576","Ball of Confusion (That's What the World is Today)","7.8"
"577","Paperback Writer","8.3"
"578","Bleeding Love","1.6"
"579","Build Me Up Buttercup","4.3"
"580","In Da Club","9.4"
"581","Big Girls Don't Cry","7.7"
"582","Layla","6.7"
"583","Summertime Blues","8.7"
"584","Ray of Light","6.8"
"585","Can You Feel the Love Tonight","7.4"
"586","Chain of Fools","2.3"
"587","Promiscuous","2.2"
"588","Near You","0.4"
"589","Queen of Hearts","1.3"
"590","Begin the Beguine","7.4"
"591","We Are the Champions","4.4"
"592","Cherry Pink & Apple Blossom White","2.1"
"593","Gonna Make You Sweat (Everybody Dance Now)","7.1"
"594","Rapture","9.6"
"595","Girls Just Wanna Have Fun","3"
"596","Creep","3.6"
"597","Use Somebody","8.8"
"598","Faith","1.1"
"599","Queen of Hearts","5.1"
"600","Winchester Cathedral","6.4"
"601","The Boy is Mine","2.4"
"602","Before The Next Teardrop Falls","9.4"
"603","Happy Days Are Here Again","7.4"
"604","Imagine","8.3"
"605","I Still Haven't Found What I'm Looking For","3.1"
"606","Somebody That I Used to Know","5"
"607","Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)","9.6"
"608","Boulevard of Broken Dreams","5.7"
"609","Let's Get it On","3.2"
"610","Surfin' USA","7"
"611","Incense & Peppermints","4.6"
"612","Mr Big Stuff","9.4"
"613","Feel Good Inc","6.7"
"614","Kiss","3.9"
"615","Soul Man","4.2"
"616","Take a Bow","3"
"617","1999","7.5"
"618","Play That Funky Music","7.6"
"619","In the Mood","2"
"620","Rapture","1.6"
"621","Love Will Keep Us Together","7"
"622","Disco Duck","4.3"
"623","I Get Around","7.8"
"624","Everybody Loves Somebody","4.8"
"625","Love Me Tender","9.3"
"626","You Send Me","5.7"
"627","Tammy","9.4"
"628","Ruby Tuesday","4.9"
"629","Eve of Destruction","3"
"630","Let Me Love You","0.4"
"631","Ain't No Sunshine","7.2"
"632","Frankenstein","0.3"
"633","Auf Wiederseh'n Sweetheart","8.7"
"634","Ain't No Mountain High Enough","7.6"
"635","White Christmas","5.1"
"636","Tik-Toc","9.7"
"637","Yesterday","2"
"638","I Can See Clearly Now","0.3"
"639","Unchained Melody","4.2"
"640","Love Hangover","6.6"
"641","Whoomp! (There it Is)","2.1"
"642","Tennessee Waltz","6.8"
"643","Can't Help Falling in Love","6.9"
"644","Low","9.7"
"645","Tom Dooley","4.8"
"646","My Life","5.8"
"647","Living For the City","4.5"
"648","Delicado","1.9"
"649","Disco Lady","3.1"
"650","You Were Meant for Me","8"
"651","Apologize","1"
"652","Green Onions","9.9"
"653","Ol' Man River","0.3"
"654","Mrs Robinson","4.7"
"655","Cry","5.9"
"656","Only The Lonely (Know The Way I Feel)","6"
"657","Groovin'","6.7"
"658","Gimme Some Lovin'","9.8"
"659","Bad Romance","0.7"
"660","Love is a Many Splendoured Thing","2.4"
"661","Ring My Bell","3"
"662","Honky Tonk Woman","1.1"
"663","Beat It","9.1"
"664","Live & Let Die","4.5"
"665","Twist & Shout","1.9"
"666","Working My Way Back to You","7.4"
"667","Tossing & Turning","2.3"
"668","Penny Lane","0.7"
"669","E.T.","9.2"
"670","Higher Love","4.7"
"671","Fame","0.5"
"672","Born in the USA","4"
"673","You Belong to Me","4.9"
"674","A Boy Named Sue","1.6"
"675","This Diamond Ring","9.2"
"676","Suspicious Minds","3.3"
"677","Open Arms","9.3"
"678","All Shook Up","7.3"
"679","Jive Talkin'","2.1"
"680","Stand By Me","7"
"681","I Want You Back","8.3"
"682","Theme From 'A Summer Place'","5.7"
"683","Runaway","0.9"
"684","Oh Happy Day","5.5"
"685","Take a Bow","2.7"
"686","I Will Survive","7.6"
"687","A Whole New World (Aladdin's Theme)","5.2"
"688","Reunited","7.4"
"689","Whole Lotta Love","1.6"
"690","Hard to Say I'm Sorry","7.4"
"691","Nothin' on You","0.6"
"692","Na Na Hey Hey (Kiss Him Goodbye)","3.2"
"693","Battle of New Orleans","2.6"
"694","Whoomp! (There it Is)","8.6"
"695","Love's Theme","6.1"
"696","A Woman in Love","9.8"
"697","(It's No) Sin","5.8"
"698","How Do I Live?","0.1"
"699","Hurt So Good","2.7"
"700","Bad Girls","2.6"
"701","Vogue","1.4"
"702","Yeah!","6.1"
"703","Papa's Got a Brand New Bag","3.9"
"704","Tonight's the Night (Gonna Be Alright)","2.3"
"705","Indian Reservation (The Lament Of The Cherokee Reservation Indian)","6.3"
"706","Weak","4.9"
"707","Something","5.9"
"708","Tammy","5"
"709","(Ghost) Riders in the Sky","1"
"710","Bad","10"
"711","Paper Doll","1.4"
"712","Down Hearted Blues","9.8"
"713","Killing Me Softly With His Song","0"
"714","1999","9.7"
"715","My Prayer","7.5"
"716","My Man","7.1"
"717","She Loves You","5.4"
"718","Lookin' Out My Back Door","0.6"
"719","The Way You Look Tonight","4.1"
"720","Grease","2.2"
"721","Good Times","7.6"
"722","Mrs Robinson","2.6"
"723","Stairway to Heaven","5.3"
"724","Just My Imagination (Running Away With Me)","0.9"
"725","Tennessee Waltz","8.1"
"726","Nobody Does it Better","7.5"
"727","Penny Lane","9.1"
"728","Give Me Everything","1.4"
"729","I'll Be Missing You","3.1"
"730","La Bamba","3.9"
"731","Cars","1.2"
"732","Get Off of My Cloud","4.4"
"733","Love is a Many Splendoured Thing","3.2"
"734","Irreplaceable","9.8"
"735","Single Ladies (Put A Ring On It)","4.7"
"736","In the Year 2525 (Exordium & Terminus)","6.7"
"737","Theme From 'A Summer Place'","9.1"
"738","Cold","5.3"
"739","Three Coins in the Fountain","4.5"
"740","I Can See Clearly Now","3.7"
"741","(You Keep Me) Hangin' On","9.1"
"742","One Sweet Day","3.4"
"743","Sugar Shack","3.2"
"744","Hey Baby","10"
"745","One More Try","2.2"
"746","Cherish","9.3"
"747","You Make Me Feel Brand New","3.3"
"748","Bleeding Love","4"
"749","Live & Let Die","4.6"
"750","Ain't That a Shame","2.2"
"751","Disco Lady","8.5"
"752","Shake Down","7.7"
"753","Over There","6.4"
"754","Walk This Way","7"
"755","Love Train","5.8"
"756","Baby Got Back","0.6"
"757","One Sweet Day","0.2"
"758","Tears in Heaven","1.2"
"759","I Just Wanna Be Your Everything","3.6"
"760","Daydream Believer","9"
"761","Help Me","7.7"
"762","Bad Romance","1.5"
"763","Stand By Me","9.1"
"764","Hot Child In The City","8.3"
"765","Boogie Oogie Oogie","6.8"
"766","Imagine","4.7"
"767","(You're My) Soul & Inspiration","9.3"
"768","Don't You (Forget About Me)","7.1"
"769","Glory of Love","2.4"
"770","Footloose","9.8"
"771","We Are Family","7"
"772","Because You Loved Me","8.7"
"773","Penny Lane","5.2"
"774","Fire & Rain","4"
"775","My Sharona","8.8"
"776","Ole Buttermilk Sky","4.2"
"777","Don't Speak","9"
"778","Venus","5.5"
"779","Why Don't You Believe Me?","9.6"
"780","Honky Tonk","7.7"
"781","Goodnight","9.3"
"782","Night & Day","1.8"
"783","Hey There Delilah","9.3"
"784","Tossing & Turning","1.5"
"785","Little Darlin'","5.7"
"786","Blueberry Hill","1.8"
"787","Love Will Keep Us Together","9.1"
"788","Harbour Lights","5.7"
"789","Prisoner of Love","0.4"
"790","Rolling In The Deep","6.8"
"791","Some Enchanted Evening","3.2"
"792","Love to Love You Baby","7.5"
"793","When You Wish Upon a Star","6.2"
"794","Promiscuous","6.7"
"795","Baby Baby","7.1"
"796","Before The Next Teardrop Falls","0.8"
"797","You Don't Bring Me Flowers","1.5"
"798","Volare","7.2"
"799","If You Leave Me Now","1"
"800","Cry","4.2"
"801","Night Fever","0.7"
"802","Red Red Wine","8.5"
"803","Indian Reservation (The Lament Of The Cherokee Reservation Indian)","3.2"
"804","Crimson & Clover","5.6"
"805","Oh My Papa (O Mein Papa)","2.6"
"806","St Louis Blues","7.3"
"807","Wishing Well","9.1"
"808","We Found Love","0.7"
"809","96 Tears","2.3"
"810","Candy Man","3.6"
"811","Thrift Shop","0.1"
"812","Hey Jude","5.8"
"813","If I Didn't Care","3.9"
"814","Hot Stuff","4"
"815","Waterfalls","3"
"816","I'm a Believer","9.2"
"817","If You Don't Know Me By Now","6.4"
"818","Pon De Replay","9.6"
"819","Boogie Woogie Bugle Boy","5.8"
"820","This Used to Be My Playground","4.5"
"821","My Eyes Adored You","3.8"
"822","The Joker","6.7"
"823","Jailhouse Rock","4.4"
"824","Little Things Mean a Lot","8.7"
"825","The Christmas Song (Chestnuts Roasting On An Open Fire)","6.1"
"826","Blaze of Glory","2.9"
"827","Physical","3.4"
"828","On the Atchison","1"
"829","Me & Bobby McGee","6.3"
"830","Baby One More Time","6.1"
"831","I Gotta Feeling","4.3"
"832","Bette Davis Eyes","0.9"
"833","Without You","1.4"
"834","Stay (I Missed You)","8.6"
"835","It's All in the Game","5.4"
